   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   24.999999999999957        3.4329322390757616E-002   2.5131481268259696E-002   5.4033406747662403E-002   7.9152875242074330E-002   4.1364945236631893E-003	   2.4496115993710541E-003   4.2792382407171682E-002   5.0011226967943351E-003   1.8790756807800992E-002   2.7174878982433554E-002	   1.6427591711401141E-002   5.1287233827840638E-002   3.9561424326600994E-002   2.2983773204389261E-002   6.9192444757940424E-002	   4.2181903371537370E-002   8.7589658906930129E-002  0.10737360078577653        3.8930462230286449E-002   9.9188607412311114E-002	   6.0953057752578178E-002   2.1112617749823724E-002   6.8418248875392156E-003   4.6410880695457679E-002   5.6174766106490144E-002
   50.000000000000377       0.12095488198873476        8.2562831225999070E-002  0.20314333629704409       0.28320117931879712        1.2325139290813992E-002	   7.4111722492591261E-003  0.15856758421573480        9.3661399640063651E-003   6.2590279387835498E-002   9.1628508881186108E-002	   5.5752651417165053E-002  0.18227326389963350       0.14923642169309523        7.5707863273272988E-002  0.25357509314265608     	  0.15891203435830070       0.31051973402240329       0.38252915206686910       0.14502307114319782       0.34549633732347440     	  0.22088914102806903        7.0103954860588805E-002   4.2336900840697989E-003  0.16593607500762603       0.19504428570762300     
   75.000000000000981       0.23860755916236343       0.16285719922944641       0.41354329822472002       0.55368431927323103        2.7197677561206422E-002	   1.6290496182951170E-002  0.32504531418727611        4.9094387084149009E-003  0.12784941969033856       0.18951457773600805     	  0.11752142187333402       0.37748730854272428       0.31086696212178011       0.15012057303981008       0.50178779201010770     	  0.32938623728579391       0.59699721919747140       0.70624127776335954       0.29737051471854020       0.63917228728699160     	  0.44076785672131286       0.14361502909792059        3.0252571824714012E-003  0.34656081802850575       0.37454370318559949     
   100.00000000000159       0.38513857558834230       0.27315004062485582       0.64010382921618847       0.80663326453504680        4.6568383831613644E-002	   2.8127329608189994E-002  0.51659621205840800        5.2574723507311646E-003  0.22138891306675165       0.32176596283328773     	  0.20371518282648654       0.59282344064119008       0.49823601880749324       0.25133220685857421       0.74822336094890174     	  0.52800244922732520       0.84862450836873682       0.93868848505913005       0.47715946247746999       0.88317882726130492     	  0.67509268114913112       0.24594629459310369        7.2292417763746486E-003  0.55137231563368916       0.56989373165306678     
   125.00000000000220       0.55232647692471148       0.40572630825790301       0.83403423555524803       0.96183648487955087        7.0457692915717879E-002	   4.2977990929373752E-002  0.70284265600447193        1.3830267222320178E-002  0.32590011712842365       0.46456507065535507     	  0.30262619774650529       0.78871702955867162       0.68212799977284111       0.37315111461243367       0.92466353433779735     	  0.72088398327029668       0.97668971650851732       0.97962202368126117       0.66071203244937293       0.97819891320572649     	  0.86887592702227245       0.35912138945995509        4.3274614293274671E-003  0.74640219166205868       0.75202256820071134     
   150.00000000000281       0.70708374492908954       0.53631877819456630       0.95285589414505056       0.97280812747871914        9.9675889887142113E-002	   6.1269313904383053E-002  0.84924901357168192        1.3510347142210007E-002  0.43778670252418361       0.60723809931525496     	  0.41193858580979104       0.92810941414613324       0.83259008684850067       0.49691164948631183       0.98386531280746925     	  0.87759449919508514       0.94016350640045476       0.81157808922322694       0.81477717707359454       0.88612273594150848     	  0.97671561814361152       0.47835939602613786        6.9445395430738329E-003  0.89855236665535609       0.87352610219151927     
   175.00000000000341       0.82841651652314896       0.65480765200003699       0.97065602466331313       0.83726311037467416       0.13144902243866041     	   8.1590853850813480E-002  0.93076666195766533        7.1375972548180086E-003  0.55803999175618135       0.74144697237469914     	  0.52653441167855042       0.98257327848089870       0.92592923314671371       0.61495798003403901       0.91165435549253448     	  0.97284425447856604       0.74946820019522364       0.50734464721915018       0.91797984965084567       0.65638179030303057     	  0.97076949422382974       0.59977846191018391        3.3683323776250180E-003  0.97947753676231941       0.90344126410540759     
   200.00000000000401       0.90838016713154246       0.76902217564038378       0.88353062485450840       0.59377625005780876       0.16909787564924436     	  0.10587237927632799       0.93478260318033080        9.7341265420921915E-003  0.66517384680419567       0.85162341310508005     	  0.63933149429744718       0.94231601728262770       0.94700728420766089       0.73135852443949423       0.72701609490794539     	  0.99009916019096389       0.47100158289264060       0.19818404341617862       0.95395863975402906       0.36022774419770320     	  0.85734319163425432       0.70581779266065370        8.5561811256770447E-003  0.97650197841115383       0.84508914297550142     
   225.00000000000463       0.93693050859937443       0.85390336492665164       0.71037122465107827       0.32189310782210678       0.20792506290513635     	  0.13133620630121248       0.86021270820259932        1.2581116816641581E-002  0.76035216720513765       0.92631829045574920     	  0.74430186170014945       0.81685052517805390       0.89231980475561656       0.82895594092824798       0.48074188082149233     	  0.92731656523334494       0.20151586157212256        1.7586043561120160E-002  0.91705194840583715       0.10905242421619608     	  0.66703534903460193       0.79457090340203185        4.6073933903826095E-003  0.89044080486077115       0.70846264277605009     
   250.00000000000520       0.91601928543915923       0.90184353551187857       0.48925511425931834       0.10265894713678966       0.25007551426589786     	  0.16006422728990691       0.72037389283016118        7.0696512087458979E-003  0.84008133794132733       0.95853995511054868     	  0.83562119003343349       0.62733053907243186       0.77183625199971773       0.89789706383630075       0.24005969718238487     	  0.79412648216310655        3.0675860294031777E-002   4.3445084473165793E-002  0.81474300700696223        1.3354336449817171E-002	  0.43660704325658495       0.86050187299746062        4.0210700959712126E-003  0.73469201933773609       0.51915348390171567     
   275.00000000000580       0.84421587922472918       0.92307850078493292       0.26823285330828051        3.4159490474795361E-003  0.29393296270938218     	  0.19061232662212005       0.53886233864054778        3.9372465663864171E-003  0.89078705124784185       0.94994402723149207     	  0.90916666661451162       0.41262317318843683       0.60446285992226589       0.93905654603031286        6.9167218001006323E-002	  0.61330233848426008        1.8375096218583662E-002  0.26433100413575844       0.65991600560914720        9.7518889812746506E-002	  0.21944137009863934       0.89387341446964286        8.5937178469641298E-003  0.53801924153717418       0.32053119411250003     
   300.00000000000642       0.71744210033276168       0.90544499724017435        9.5084297519522964E-002   5.9258814127942976E-002  0.33919956521338979     	  0.22325698350101922       0.34527219939623094        6.4726022931167132E-003  0.91785156339338647       0.89949327534628321     	  0.95880504341489559       0.21529380277810917       0.41652009701441267       0.94570873361737162        1.3714364368141602E-002	  0.41421091735068660       0.17011924865753081       0.58538712604965848       0.47845791530437320       0.32486021658562092     	   6.7487313550031292E-002  0.89805309478700912        3.4017503252122788E-003  0.33453959712808112       0.14747379333133512     
