   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   24.999999999999957        4.3417942967362726E-002   3.6651505413740459E-002   3.9736953715546135E-002   1.8346492050253980E-002   7.8926660267698748E-002   2.5020306585553063E-003	   1.6957233708712501E-003   4.2863592216216044E-002   1.4872622011559346E-002   3.7224274422162758E-002   7.1218308494807800E-002   8.0762105779210707E-003	   5.5390138248231670E-003   2.4168738217669027E-002   3.4331205561660159E-002   1.3999428639543145E-002   8.1158042797502550E-003   2.8510010315050668E-002	   1.9574451616476262E-002   6.9076397330875908E-002   8.4478836550271955E-002   3.2488279823532494E-002   4.2262339465637920E-002   6.4547794139655168E-002	   4.4362813850977553E-002   6.2802291938784019E-002   3.6054781514636494E-002   7.9862937313021534E-002   4.9315629186768843E-002   8.8158448478519252E-002	   6.0799490953225663E-002   7.2152932502294398E-003   1.8996832760379525E-002   3.3417987185406964E-002   2.7695414955816160E-002   6.2185041402822917E-002
   50.000000000000377        9.7247965175498219E-002   9.5241425712399796E-002  0.14514209440621909        6.4293557261795115E-002  0.28523230617431716        3.2346320046120849E-003	   2.1804999129241736E-003  0.13048237245033975        1.3294816577078747E-002  0.13604634280086639       0.25835140612764440        2.9617036816916745E-002	   2.0136835690301003E-002   8.0686355086353398E-002  0.12115386085787966        1.2931898601281348E-002   2.2631325920691007E-002  0.10802526018674333     	   7.4875394669568843E-002  0.25237975390500594       0.30333367787870008       0.11432970769130230       0.11019649786564102       0.23463410054354555     	  0.16420416842675398       0.22971156832492837       0.12541865453865078       0.28835836300617312       0.14724185451981942       0.27627285558446513     	  0.19987733202818800        2.0434168056478508E-002   6.6615752275174453E-002  0.11658353265605677        9.2388109859932455E-002  0.14300209452995319     
   75.000000000000981       0.21781068979692869       0.21614198946997412       0.30250609979317605       0.13797684762900361       0.55379153378038937        6.7865599607247499E-003	   4.6603137648222976E-003  0.27841722192689594        3.8895325084703170E-002  0.28519252614918594       0.50738687827910012        6.1172557385617075E-002	   4.1664377605484769E-002  0.16997467759167031       0.25721174512907768        3.6499461693292573E-002   4.3737468082470074E-002  0.23091031316595548     	  0.16228610254549006       0.49844696746965123       0.58557136519463870       0.24414119071289994       0.24522775468508093       0.46748105343367047     	  0.33898986278980425       0.45813857560970822       0.25879622273473069       0.56211731573177093       0.31339846500572899       0.55043063151199922     	  0.41166034079687353        4.0121298669456719E-002  0.14304979648904911       0.24110553536386806       0.19256493964572891       0.30348447429305170     
   100.00000000000159       0.34786931904847507       0.34289661846290004       0.48846230718883010       0.23145643689506254       0.80404268478268370        1.1753572105692873E-002	   7.9919355455530684E-003  0.44708713227386548        4.8065767884656385E-002  0.46435626866319474       0.74953766888429763       0.10222705558367719     	   7.0772654601111332E-002  0.28937463689114090       0.42063659722184182        4.5614714320340879E-002   7.3375142136320098E-002  0.38176802543529026     	  0.27354011811458734       0.74382916238396357       0.83954945732167707       0.40004488263556820       0.38464633124862041       0.70473128037768040     	  0.53840994527897779       0.69261407482763493       0.42532749922851648       0.81613804435773096       0.49429082965479476       0.78866957847432495     	  0.63147926354966533        6.6510643414205650E-002  0.24010501247769753       0.40124771391668784       0.32680757844225838       0.47627249194300908     
   125.00000000000220       0.49251230905474819       0.49951238441875323       0.67105506566944972       0.34102389422534596       0.95848485614607914        1.6784406913844477E-002	   1.1401970510334621E-002  0.61865120707279309        7.6273178479684595E-002  0.64384125102358447       0.92060750243852896       0.15436695419163080     	  0.10800796442831211       0.42164556186841251       0.58875548587056281        7.1449682224545286E-002  0.10614989299139717       0.54463985787879576     	  0.40133255960316100       0.92146242586826932       0.97816402673985370       0.56412236400364701       0.55036437323204190       0.88842582593179142     	  0.72879410492579344       0.87828830829995430       0.59258136970328812       0.96839640529056614       0.67024659445853418       0.94841061929100723     	  0.82657003914675675        9.6676791848671922E-002  0.35399314836512041       0.56423010770322690       0.47096083605955213       0.63623634323992828     
   150.00000000000281       0.64479370610236708       0.64190385516345683       0.82611714869192887       0.46035242110502089       0.97174053579494857        2.4312349498039097E-002	   1.6672626305962130E-002  0.77186493891559305        9.5785570767014244E-002  0.80279889920824354       0.97000327221223015       0.21771734700307935     	  0.15317096165199051       0.55802632752078341       0.74257924369923223        8.9719581697068118E-002  0.14966971988728339       0.70170270525704326     	  0.53666682106937780       0.98551613729031029       0.95698706470020944       0.71793777250429980       0.69459991248036379       0.97964593313798609     	  0.88266330647903490       0.96875599433547122       0.74712965078746174       0.97276329935828831       0.81791864169806472       0.96063828977140242     	  0.95234791163019195       0.13501840079099922       0.47817416081670222       0.72035741425881439       0.61465693140415978       0.78459346777191619     
   175.00000000000341       0.75767432502797660       0.77474509641089873       0.92644437698515458       0.57797092261427285       0.83670238376534856        3.1819592075253970E-002	   2.1790934839885204E-002  0.87489541897722245       0.12317564488822422       0.91436488427875062       0.88046770439520194       0.28707730889714045     	  0.20403023375148865       0.69184795348293293       0.85746979274798196       0.11616581214515147       0.19450507943073983       0.83441749740102122     	  0.66845590860919046       0.91497978488372766       0.78153155029665078       0.83906167048379721       0.82140048014061917       0.95532826718279729     	  0.97172460327899735       0.93932755295515702       0.86719094720967982       0.82934692267378474       0.89962826850308653       0.84727376301424395     	  0.97844886976580814       0.17568647829089556       0.59866087823737668       0.84883662645862867       0.75169165296570728       0.85864934858780961     
   200.00000000000401       0.86045833859304521       0.87044923913476147       0.95879862368686253       0.69094053190727422       0.59721442279836567        4.1439426697596309E-002	   2.8541606792672970E-002  0.92518795363203232       0.15819630617200134       0.96387036787952185       0.68204219226139040       0.35844501965717185     	  0.25820471731254807       0.80641827043810632       0.92254188178369223       0.14735529132176348       0.24456904654386424       0.92933482506212073     	  0.78776259445984032       0.73341547159616360       0.51348115188127896       0.91674550161062984       0.90375469609554437       0.82167469970646012     	  0.98412251765245706       0.79917914576740134       0.93351758633559090       0.58008489276039144       0.91473886278470373       0.61203881596497101     	  0.91742614640672404       0.22062727806904400       0.71090123452380416       0.92858283820780707       0.86092123626996919       0.88439487839983189     
   225.00000000000463       0.90847848017780941       0.93439726785749389       0.91786394818630979       0.78764407130049507       0.32867658190565868        5.1034914674109456E-002	   3.5296780427408726E-002  0.90729219346366896       0.18720047237127532       0.94543292278715607       0.43270576396797283       0.43288872364917125     	  0.31695155598560276       0.89390658261126299       0.92467484345538054       0.17749226113589986       0.30131928064557201       0.97531311106289720     	  0.88512203322687610       0.48988696329740350       0.23844761076377224       0.94071023575049972       0.94395724912431966       0.60796158710289061     	  0.91625430376059136       0.58337323905244587       0.94099259848010697       0.30622923607907598       0.85704171697064513       0.36560801153786410     	  0.75619967760806339       0.26913054788132706       0.80370792419682280       0.95785545611597966       0.93346685439320187       0.83254233155461221     
