   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   25.000000000013582        4.3418511771153030E-002   3.6658424673400587E-002   3.9742281111329429E-002   1.8349046711871587E-002   7.8945392393888189E-002   2.5025376732388145E-003	   1.6959650686889764E-003   4.2867282805715945E-002   1.4875358714219047E-002   3.7229244741468555E-002   7.1230942266591726E-002   8.0779563885409311E-003	   5.5399967179705044E-003   2.4174471060270673E-002   3.4334929679395172E-002   1.4001459923754837E-002   8.1179601815586575E-003   2.8517334860288762E-002	   1.9578157690758331E-002   6.9091127437380565E-002   8.4496271625571842E-002   3.2491660547540505E-002   4.2270976218658225E-002   6.4563317149819416E-002	   4.4370503768574487E-002   6.2811568839662185E-002   3.6060553378063256E-002   7.9878545837607451E-002   4.9320720348362872E-002   8.8170657965899540E-002	   6.0804666109297890E-002   7.2165975574827899E-003   1.8999965035207601E-002   3.3423285651818534E-002   2.7702750619026148E-002   6.2186137170595492E-002
   50.000000000068397        9.7247963464002690E-002   9.5257412739453512E-002  0.14516048966711220        6.4302592410131865E-002  0.28529288399474373        3.2354222509387467E-003	   2.1808692087222966E-003  0.13049301876478783        1.3295800165268115E-002  0.13606381310025589       0.25839023283546081        2.9623897651770585E-002	   2.0140499255287901E-002   8.0706838516751742E-002  0.12116593291066360        1.2931794854005436E-002   2.2637668150959703E-002  0.10805237989213699     	   7.4889547863713588E-002  0.25242762870040697       0.30338949846960017       0.11434046648260607       0.11021338566476230       0.23468596166821878     	  0.16423222654356387       0.22974035958323677       0.12543464708861626       0.28840900909455292       0.14725670961394255       0.27630397712543581     	  0.19989509854015117        2.0438078748701623E-002   6.6626426303096592E-002  0.11659911137999722        9.2414580491933268E-002  0.14300807598517565     
   74.999999999933948       0.21780532160138988       0.21617849899422903       0.30253661212988536       0.13799424975563959       0.55388366585226645        6.7881303230658552E-003	   4.6610674209652345E-003  0.27843105464304424        3.8903892972946490E-002  0.28522338029739142       0.50743997239986960        6.1187499418644306E-002	   4.1672026445175259E-002  0.17001464004856412       0.25723343155839506        3.6504684224345600E-002   4.3746132843606587E-002  0.23096363870166492     	  0.16231466534961098       0.49852201068608154       0.58565124232384302       0.24415824142046788       0.24526719245495535       0.46756311994078564     	  0.33904019260200985       0.45817682809338905       0.25882763585978130       0.56219273184456842       0.31340858572903191       0.55047654118362999     	  0.41169071775264404        4.0126165161607011E-002  0.14306832077526768       0.24113645983733326       0.19261446990495526       0.30347288840039477     
   99.999999999649958       0.34786459107009332       0.34293098774320752       0.48849623530775232       0.23148468560702776       0.80411114823590701        1.1755906309536652E-002	   7.9931919270612526E-003  0.44709599193537219        4.8068744800584019E-002  0.46439627119134091       0.74956795040120994       0.10225019145254953     	   7.0785417981777982E-002  0.28943570743336194       0.42065779783866547        4.5615983917006483E-002   7.3388848832000531E-002  0.38184609675053177     	  0.27358325879457274       0.74389113446862032       0.83959841764901766       0.40005021451642914       0.38467204195936588       0.70480750559979910     	  0.53847182097496726       0.69262874302559829       0.42535781096296182       0.81619276511239958       0.49427895904649016       0.78866734105489222     	  0.63151049035072981        6.6517798411434945E-002  0.24013145562587279       0.40128862942225685       0.32687953274146120       0.47625638607260179     
   124.99999999944538       0.49247724947993793       0.49955517842039471       0.67106676092937179       0.34105490967986590       0.95844510593959187        1.6788327925299142E-002	   1.1403914298456578E-002  0.61861812137061367        7.6293438518146864E-002  0.64387293033116044       0.92055381850940932       0.15439471922332504     	  0.10802650879924645       0.42172609976620828       0.58875819798690521        7.1465712031235598E-002  0.10616393700390631       0.54473033683730654     	  0.40138474649741573       0.92144361162931498       0.97810691674228323       0.56408337085436366       0.55038170597132086       0.88844059156834809     	  0.72884341614620529       0.87821889758596106       0.59256960416649418       0.96836153270621006       0.67012573891380356       0.94831904938500378     	  0.82657811717616736        9.6681947814529684E-002  0.35401468545531312       0.56425999616280065       0.47105095025449112       0.63614356979321085     
   149.99999999983902       0.64473270345057554       0.64187927296895098       0.82606771212823982       0.46037472700011345       0.97151704283327622        2.4315853221578258E-002	   1.6674844621470151E-002  0.77175626519483320        9.5784657338750231E-002  0.80279525985576439       0.96979406074548957       0.21774599899664809     	  0.15319592131378579       0.55810223823947547       0.74252777149637972        8.9723608426188539E-002  0.14967277382594688       0.70178492304371975     	  0.53671909562638720       0.98535218128091917       0.95675473850842019       0.71780020183410609       0.69450102986002904       0.97953834695277342     	  0.88266785890270305       0.96852285652028702       0.74702875166245830       0.97257789145715590       0.81763364372257685       0.96035468880297747     	  0.95230482392275628       0.13501268914224465       0.47817622267620796       0.72036029085744668       0.61472037927835899       0.78440749441301871     
   175.00000000023263       0.75752606063311645       0.77467167064641096       0.92629408390125878       0.57795341799442290       0.83626592785661391        3.1822375656251498E-002	   2.1793454166951977E-002  0.87464681414020007       0.12319381229432713       0.91429831042736065       0.88006242266715073       0.28709879178538428     	  0.20406126176267042       0.69189849832486550       0.85732091958632217       0.11619038803181908       0.19449404698690512       0.83446108777536632     	  0.66849184146334850       0.91463069806966946       0.78111792773054156       0.83876091213717374       0.82119148330830383       0.95505558264531243     	  0.97164898222067131       0.93887053536079113       0.86691280559790007       0.82898827027139388       0.89905475713597505       0.84682033980097793     	  0.97832035965137620       0.17566439306842149       0.59860613609054536       0.84876535810988529       0.75169363262135147       0.85830375175845908     
   200.00000000062627       0.86020903102548418       0.87020417297771546       0.95850693860084335       0.69085111982243197       0.59662289662596846        4.1440395722446101E-002	   2.8544597069379028E-002  0.92476324585764424       0.15816522845868028       0.96370780756911889       0.68147055089321185       0.35844225852619682     	  0.25823916955559328       0.80641145433364825       0.92224874895987452       0.14734703080069023       0.24451737992501241       0.92930701541847582     	  0.78776438117011771       0.73289721133641927       0.51296273689680694       0.91623247708887390       0.90328444235925165       0.82122643260919870     	  0.98393483684750793       0.79850032990002118       0.93299532797933160       0.57960569450450716       0.91382743617571049       0.61144048718682420     	  0.91719671582027906       0.22056257550935951       0.71075073123433430       0.92839434825464384       0.86081572618634317       0.88381385651402367     
   225.00000000101991       0.90807754389879336       0.93400679082009086       0.91741126006738716       0.78744415356267128       0.32807087109811689        5.1028374793576241E-002	   3.5298056598924467E-002  0.90666385416341522       0.18717471222141480       0.94515654688508421       0.43207499257248444       0.43283876966069251     	  0.31698507383848806       0.89379575859703886       0.92419476550502488       0.17749458755902350       0.30120293051144642       0.97518171264865317     	  0.88506825234615949       0.48927958965731216       0.23797478052348639       0.93994798363328347       0.94324777588524245       0.60737990250289964     	  0.91594926216577666       0.58256017142435490       0.94018588090870348       0.30575422103388000       0.85577091749673129       0.36499890246266153     	  0.75588836001080684       0.26899857248716597       0.80341971334758355       0.95752323022352759       0.93317042833651531       0.83174402527845881     
