   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   25.000000000001421        4.3418506584348975E-002   3.6658280504986943E-002   3.9742169891161423E-002   1.8348993118731741E-002   7.8945012114158067E-002   2.5025272141365388E-003	   1.6959602867691989E-003   4.2867214708576712E-002   1.4875304752130546E-002   3.7229141736784037E-002   7.1230681506920121E-002   8.0779209190509956E-003	   5.5399767024674369E-003   2.4174356479080939E-002   3.4334861811356449E-002   1.4001420202504354E-002   8.1179180140504154E-003   2.8517183878841820E-002	   1.9578081751303156E-002   6.9090827587084402E-002   8.4495925864671917E-002   3.2491599243169744E-002   4.2270796042493605E-002   6.4562990185987768E-002	   4.4370344942795223E-002   6.2811376972746955E-002   3.6060434837232286E-002   7.9878235485232471E-002   4.9320625101128439E-002   8.8170400295381160E-002	   6.0804552938486571E-002   7.2165728446203208E-003   1.8999901672061493E-002   3.3423178850765782E-002   2.7702605066447030E-002   6.2186125407874229E-002
   50.000000000005414        9.7247966810326103E-002   9.5257068068030887E-002  0.14516009720760470        6.4302398047116321E-002  0.28529165702819193        3.2354061528208126E-003	   2.1808618030748337E-003  0.13049279595116098        1.3295776353002187E-002  0.13606344323762276       0.25838942742326892        2.9623757719370324E-002	   2.0140424628385497E-002   8.0706430553836569E-002  0.12116568170473238        1.2931794618839082E-002   2.2637535183414419E-002  0.10805181696549757     	   7.4889255400283669E-002  0.25242665266992176       0.30338838980726196       0.11434023944184994       0.11021302899512443       0.23468486150240028     	  0.16423164512191635       0.22973975913369576       0.12543431886938280       0.28840800680872142       0.14725638620253820       0.27630331162391780     	  0.19989470037424892        2.0437997159746098E-002   6.6626205526498061E-002  0.11659879958862433        9.2414053450445108E-002  0.14300794544942838     
   74.999999999999957       0.21780543419834753       0.21617771505672906       0.30253595565733354       0.13799388022052328       0.55388180470078707        6.7880985787115702E-003	   4.6610529341091344E-003  0.27843073535180701        3.8903717286476514E-002  0.28522272281013306       0.50743887565222690        6.1187193327022202E-002	   4.1671870464220245E-002  0.17001384580676790       0.25723295997953066        3.6504580370821132E-002   4.3745956369724691E-002  0.23096253756087853     	  0.16231407669981857       0.49852047935815375       0.58564966263712437       0.24415786461976630       0.24526637895770956       0.46756139136997760     	  0.33903915976373689       0.45817602086474440       0.25882699991559183       0.56219124526574116       0.31340835230710939       0.55047556938484266     	  0.41169002057036225        4.0126065572643643E-002  0.14306793699560963       0.24113584095109650       0.19261348809925447       0.30347313039523094     
   99.999999999987011       0.34786471419146636       0.34293022962302733       0.48849548725361275       0.23148409665905476       0.80410976671575873        1.1755858420861669E-002	   7.9931679656288137E-003  0.44709577239740872        4.8068675932181427E-002  0.46439540733513085       0.74956733886709526       0.10224971806014972     	   7.0785157671503646E-002  0.28943449452890230       0.42065734199160720        4.5615957719588790E-002   7.3388568701569082E-002  0.38184448765993195     	  0.27358236807088748       0.74388986292090620       0.83959747372107318       0.40005008223292987       0.38467155462134489       0.70480589227473200     	  0.53847056060484433       0.69262839951503463       0.42535722564405631       0.81619170506266081       0.49427916596778876       0.78866738020557881     	  0.63150973187570958        6.6517646117788501E-002  0.24013090206565682       0.40128782016576170       0.32687811618786788       0.47625674936381118     
   124.99999999997407       0.49247801195918939       0.49955422604509547       0.67106645348530147       0.34105428923802483       0.95844590478046487        1.6788248075560331E-002	   1.1403877217606972E-002  0.61861870301040578        7.6293013554318528E-002  0.64387222382768317       0.92055497720496460       0.15439415658389705     	  0.10802613104803399       0.42172450498570668       0.58875806360963368        7.1465393501235888E-002  0.10616365814320765       0.54472848851137801     	  0.40138366656982777       0.92144397478043416       0.97810811775980355       0.56408412091012394       0.55038145515696135       0.88844027537668968     	  0.72884242424740009       0.87822025477549825       0.59256993647892520       0.96836227286950183       0.67012824623085510       0.94832097145580074     	  0.82657782569216698        9.6681832112389357E-002  0.35401422058059701       0.56425943592923422       0.47104918510594979       0.63614563744273900     
   149.99999999996112       0.64473404010954771       0.64187971408995748       0.82606864676321223       0.46037433084625495       0.97152153904951455        2.4315783367619755E-002	   1.6674804672923697E-002  0.77175837613721954        9.5784663121789113E-002  0.80279527099529469       0.96979848670770408       0.21774542784495010     	  0.15319541201194464       0.55810074650196684       0.74252872082518750        8.9723549241160147E-002  0.14967273451923327       0.70178326725345574     	  0.53671800944590420       0.98535548917869320       0.95675946814438417       0.71780299744325504       0.69450331179077607       0.97954059119587911     	  0.88266780621941776       0.96852754589935275       0.74703098983893568       0.97258164755318544       0.81763960282186476       0.96036063140883476     	  0.95230557820972306       0.13501278888670584       0.47817614631458377       0.72036031077816731       0.61471919524253482       0.78441164996305424     
   174.99999999994819       0.75752928338719938       0.77467313523450865       0.92629708205154038       0.57795389918606288       0.83627470829320938        3.1822323176992504E-002	   2.1793410240308377E-002  0.87465181758907173       0.12319340600146005       0.91429961512382507       0.88007096304516197       0.28709838700492268     	  0.20406062740082470       0.69189753083742900       0.85732384695114894       0.11618993048592464       0.19449429924655609       0.83446026543630447     	  0.66849108727977014       0.91463777015649173       0.78112630052084364       0.83876713094783806       0.82119615300024051       0.95506128427053172     	  0.97165060864972197       0.93887979336735250       0.86691875708614075       0.82899549084222002       0.89906685712775092       0.84682987362451467     	  0.97832294768100503       0.17566480284755959       0.59860720916284194       0.84876693657903712       0.75169374241470799       0.85831149299571308     
   199.99999999993523       0.86021438527402327       0.87020924625615204       0.95851283315537750       0.69085313485271438       0.59663480479941844        4.1440385835111712E-002	   2.8544546563605402E-002  0.92477189389586256       0.15816582174410437       0.96371109701629265       0.68148257913407773       0.35844239180763277     	  0.25823846537341633       0.80641165968577566       0.92225461052504065       0.14734728776210837       0.24451848940585327       0.92930770643864502     	  0.78776433324045947       0.73290773210771010       0.51297320485005504       0.91624315726409833       0.90329466664516422       0.82123581672522528     	  0.98393881900282898       0.79851413401269078       0.93300633008234646       0.57961531693743462       0.91384671790619232       0.61145308741262439     	  0.91720145012149368       0.22056382655290063       0.71075375464592150       0.92839837174684758       0.86081806606918454       0.88382674410698991     
   224.99999999992230       0.90808608569609706       0.93401495003541168       0.91742047506983349       0.78744847349980307       0.32808307086206467        5.1028531318998427E-002	   3.5298045828327497E-002  0.90667671104938441       0.18717515434651821       0.94516220599799261       0.43208824522543560       0.43283994349619764     	  0.31698439044527887       0.89379808492135415       0.92420442771126543       0.17749467581090261       0.30120539420149239       0.97518458286628240     	  0.88506936188444729       0.48929193650752772       0.23798430638019816       0.93996389459597729       0.94326302223251002       0.60739206814754765     	  0.91595571889731953       0.58257674461959719       0.94020270770553416       0.30576374778230292       0.85579773581789464       0.36501177257009126     	  0.75589487124031440       0.26900115205502406       0.80342555112184666       0.95753023959356143       0.93317670343381232       0.83176154903829991     
