   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   25.000000000013582        3.4329497266641203E-002   2.5136880841287301E-002   5.4041439927179136E-002   7.9165289061849872E-002   4.1376733326018980E-003	   2.4499940839585207E-003   4.2796730011458596E-002   5.0026841401368287E-003   1.8793743709056603E-002   2.7181788032669848E-002	   1.6430485494727112E-002   5.1299509889666119E-002   3.9565739444517793E-002   2.2987257008537629E-002   6.9209769073806132E-002	   4.2189315527678177E-002   8.7604717874720822E-002  0.10739389023755193        3.8934339619717907E-002   9.9207636309632072E-002	   6.0959490024496014E-002   2.1115645157301497E-002   6.8423199283602675E-003   4.6421053169283452E-002   5.6175571141711296E-002
   50.000000000068397       0.12095716362227653        8.2576971383669442E-002  0.20317089787840362       0.28324059705859828        1.2328412537213082E-002	   7.4124172098081562E-003  0.15858309352296379        9.3681139416828228E-003   6.2598081170541414E-002   9.1653977848473289E-002	   5.5762965004782873E-002  0.18231292314078648       0.14925190997356425        7.5717163150653799E-002  0.25363187545173760     	  0.15893806219871889       0.31056553396605296       0.38258871727529448       0.14503617033300595       0.34554650234235151     	  0.22091022578489986        7.0110724183228598E-002   4.2361513147433638E-003  0.16596991307155345       0.19505279303399975     
   74.999999999933948       0.23861161636706446       0.16288200458785815       0.41358924436718697       0.55374163190293835        2.7205567070047169E-002	   1.6293431544651935E-002  0.32506956372330559        4.9096103725575126E-003  0.12786564930192776       0.18956126658407979     	  0.11754173263087409       0.37756062501709364       0.31089011468260397       0.15013834769098078       0.50187687724273022     	  0.32943261630965459       0.59705255651746614       0.70630761884385218       0.29738761527465085       0.63921974047086860     	  0.44080200449460510       0.14362926979207030        3.0231601596112157E-003  0.34662606469637974       0.37455474335826244     
   99.999999999649958       0.38513471198700705       0.27318758473709731       0.64014965697080761       0.80667286891503476        4.6579676830385344E-002	   2.8132633920468688E-002  0.51661409111710088        5.2623270660921307E-003  0.22141392974846921       0.32183444031274300     	  0.20374749479499057       0.59290583151818954       0.49824565150412214       0.25136287887827441       0.74830099545894180     	  0.52805871954711470       0.84863030001602047       0.93868122033411971       0.47715492132624648       0.88315674793895327     	  0.67512482698515519       0.24596482284097645        7.2319252090397917E-003  0.55145615150401239       0.56986120686523334     
   124.99999999944538       0.55229762924066128       0.40576232491037173       0.83404372205127320       0.96180172068123582        7.0472136966556465E-002	   4.2986213401095839E-002  0.70282390955601448        1.3837257475513955E-002  0.32592140950435666       0.46464772647650548     	  0.30266987803133516       0.78877237603723016       0.68207839401867010       0.37318742543904465       0.92465688005608637     	  0.72092587880758308       0.97656229519610316       0.97945566659604644       0.66063800102803716       0.97800505702711527     	  0.86887203982596251       0.35912544441906091        4.3279090050632454E-003  0.74648408097137109       0.75188026394615637     
   149.99999999983902       0.70701652484396349       0.53630407252564094       0.95278117204771240       0.97264755671345671        9.9685533564345008E-002	   6.1280452714266569E-002  0.84915397123550218        1.3505650234679371E-002  0.43780301594832283       0.60730343353508909     	  0.41198520761749230       0.92807086806648398       0.83241669427816434       0.49692110389987770       0.98369738399998863     	  0.87759045756444665       0.93984105882656666       0.81122587505109101       0.81458200772330647       0.88570082256995386     	  0.97664078771928020       0.47833769770311396        6.9474685003891434E-003  0.89859179696957014       0.87322259445199968     
   175.00000000023263       0.82827596013454818       0.65472377913125501       0.97045295781753937       0.83696026251384792       0.13144916451291178     	   8.1605342140553372E-002  0.93054705227258161        7.1316351141666552E-003  0.55802733382675851       0.74145532522068602     	  0.52657420330464888       0.98238735974882363       0.92555945612388524       0.61492190449092698       0.91127680180771231     	  0.97275913943137560       0.74895789563777004       0.50688452711951870       0.91759656099787912       0.65579368085424872     	  0.97059716552883835       0.59968774288354032        3.3684824354468183E-003  0.97944008430151897       0.90291930793387531     
   200.00000000062627       0.90811074937578973       0.76884180857391504       0.88317947574930777       0.59336800960147895       0.16907614561164266     	  0.10588985355131530       0.93439466457700704        9.7373126949795562E-003  0.66509138077053731       0.85153736654022671     	  0.63935036220344044       0.94193674672815553       0.94638799719780542       0.73124718879946893       0.72644578714513264     	  0.98990709672709487       0.47040670409824398       0.19778904898019561       0.95334109080254092       0.35961309716424344     	  0.85705288418419456       0.70560181393791011        8.5505455616123414E-003  0.97635362784730817       0.84429947783272985     
   225.00000000101991       0.93651705765954429       0.85353972133889533       0.70989241203911480       0.32147893004829381       0.20786553819856798     	  0.13135528562450879       0.85963691962051436        1.2571809687678577E-002  0.76019078175821631       0.92607897545044460     	  0.74428326761952590       0.81628175140306591       0.89144032358032166       0.82869238230062570       0.48007193813707449     	  0.92701497288862378       0.20101557558286576        1.7451478072665026E-002  0.91621000652636941       0.10863175404666789     	  0.66665325816489529       0.79420500553258677        4.6239047244499357E-003  0.89017376024772421       0.70742792167123403     
   250.00000000141353       0.91547278822412714       0.90126232933978234       0.48871385113709870       0.10237442766652899       0.24996444434129214     	  0.16008466487750111       0.71962886852270891        7.0481265154746005E-003  0.83979658092092546       0.95809521432518463     	  0.83554367053699918       0.62661904251527090       0.77074001767518219       0.89744162361442870       0.23943913598251701     	  0.79373416900412053        3.0459517496643669E-002   4.3682241263880123E-002  0.81372274196381433        1.3325307284634146E-002	  0.43620914522277360       0.85993375497935065        4.0028671016883680E-003  0.73431779441137268       0.51800205197914762     
   275.00000000180717       0.84352456517360830       0.92228322763019255       0.26773158382937645        3.3764884467822414E-003  0.29374685489467395     	  0.19062949609513755       0.53801740925744301        3.9297812679606661E-003  0.89033574208352539       0.94928446624389951     	  0.90901143127944750       0.41187466092827829       0.60324901713781465       0.93837802123004377        6.8769801329750510E-002	  0.61285759974068588        1.8556895745766550E-002  0.26488725671746788       0.65880764595603214        9.7938502831908289E-002	  0.21911714333157267       0.89307705099477508        8.5974643336722660E-003  0.53758805551064692       0.31945184611964944     
   300.00000000220081       0.71664076965901213       0.90442534855076773        9.4741046584291902E-002   5.9527026713800342E-002  0.33892131922890939     	  0.22326979984125092       0.34443726956364018        6.4761707498036097E-003  0.91722721122789119       0.89859877302296187     	  0.95855318335049533       0.21463441200803760       0.41533167088832995       0.94478432159821812        1.3675927209288933E-002	  0.41376780663515172       0.17067883237948112       0.58604075024870850       0.47737474804963659       0.32562198507518270     	   6.7319106893231728E-002  0.89704736247853500        3.4104356177636864E-003  0.33410927005684454       0.14666322986121036     
   325.00000000259445       0.56138886302796631       0.84335926153604324        8.3560006467931856E-003  0.24692794542693056       0.38464639207067286     	  0.25778993595164867       0.17237758505894346        7.0437057086162151E-003  0.91247263071753848       0.80336723299421020     	  0.98305895856661230        6.6486693017180493E-002  0.23746873671524441       0.91497593758357521        8.6487242020926780E-002	  0.22873594764215097       0.43231827323616501       0.86841105411047304       0.29647545132512404       0.61856940785707581     	   1.3031163054229458E-002  0.86804965944755885        4.8417850486513854E-003  0.15635263441885477        3.5431792100964581E-002
