   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
   25.000000000000007        4.3419212154598187E-002   3.6651674926616293E-002   3.9735381230366046E-002   1.8343944245783089E-002   7.8954916848728698E-002   2.5063248510128937E-003	   1.6979776625202858E-003   4.2852540359056390E-002   1.4867715873771451E-002   3.7234102711637997E-002   7.1234312564628380E-002   8.0760231190751819E-003	   5.5400862121848648E-003   2.4172961201922662E-002   3.4317246701650483E-002   1.3991964640986114E-002   8.1172716442988145E-003   2.8504315470207299E-002	   1.9575190925805754E-002   6.9108882396078972E-002   8.4475087545381938E-002   3.2472365075544699E-002   4.2258010804763595E-002   6.4546400111050700E-002	   4.4359974508200548E-002   6.2808644222628579E-002   3.6067688100025717E-002   7.9861500777529681E-002   4.9309554341957836E-002   8.8171291700421164E-002	   6.0801737912845828E-002   7.2126211729372017E-003   1.9005828883677842E-002   3.3441178701596380E-002   2.7699395100145272E-002   6.2194484072683937E-002
   49.999999999999957        9.7210452043024517E-002   9.5305232873433510E-002  0.14513689708327657        6.4280649983839672E-002  0.28531833551182528        3.2336992053981018E-003	   2.1810198215054745E-003  0.13043381648540195        1.3317186086084452E-002  0.13608414529159743       0.25838746852780947        2.9620422710115328E-002	   2.0143242331823425E-002   8.0668694318567546E-002  0.12112630455010805        1.2943748665378200E-002   2.2633012637769730E-002  0.10800269763436461     	   7.4877904572305198E-002  0.25248431008732652       0.30328075925852405       0.11430114875242788       0.11022874336487050       0.23463216052085570     	  0.16419284948641799       0.22971892663079246       0.12546336774198319       0.28832143854761177       0.14723692737391414       0.27633540957471958     	  0.19991357396412984        2.0418928514483386E-002   6.6643673241886733E-002  0.11666650356478390        9.2358037403500057E-002  0.14301113675806609     
   74.999999999999886       0.21777645781906263       0.21624990811566464       0.30252049236410467       0.13794942939679319       0.55391082620999477        6.7855983709646361E-003	   4.6610051297788953E-003  0.27837765898097727        3.8906383122579172E-002  0.28528806100301235       0.50741011556441751        6.1188942539720258E-002	   4.1679548010705648E-002  0.16992393850518067       0.25717372838437541        3.6491087780887145E-002   4.3747375511063821E-002  0.23085622280918211     	  0.16228785756842679       0.49859812557890570       0.58544224813838497       0.24410432377181093       0.24527047027928298       0.46747528066457639     	  0.33897161349402233       0.45812409086579436       0.25888342151677940       0.56203026255985045       0.31344323160023868       0.55052209667068697     	  0.41171982108765592        4.0093201893019306E-002  0.14310519424515972       0.24126911655256353       0.19250379388758362       0.30355839832795029     
   99.999999999999815       0.34780961322771853       0.34314489069330423       0.48853301178462061       0.23142218038452347       0.80408995385296522        1.1750744318817825E-002	   7.9907199264840200E-003  0.44710481605693209        4.8122744903992751E-002  0.46453460315590844       0.74951673424971388       0.10225367618735566     	   7.0793183351810285E-002  0.28923204939685693       0.42069135328849022        4.5652103458515704E-002   7.3405823436258177E-002  0.38167470279687171     	  0.27353443451700615       0.74392492939037858       0.83927975011480938       0.40012120713893379       0.38478543808528032       0.70472349855227379     	  0.53838706926740276       0.69257079290794732       0.42543079979488324       0.81596365409150762       0.49447079235280694       0.78880047140002185     	  0.63159130544245168        6.6474611110696566E-002  0.24019708323945185       0.40146134979615145       0.32664967607121043       0.47639190169024614     
   124.99999999999976       0.49254007406565697       0.49982491744340130       0.67124806110921142       0.34100117024662657       0.95831510392197627        1.6777664960117279E-002	   1.1400517648993721E-002  0.61892502874067745        7.6267501289796716E-002  0.64413680224318859       0.92050526783709474       0.15438996413171135     	  0.10802956123457680       0.42135491139458287       0.58901024998857365        7.1424735754508445E-002  0.10621408691973422       0.54449124804904248     	  0.40131092982615602       0.92137767884274091       0.97769185240045564       0.56441097773043347       0.55053839747538258       0.88839384225178308     	  0.72877108409745961       0.87822440346827413       0.59264006861142793       0.96808936926309863       0.67074859284719401       0.94854217782928563     	  0.82669764422777003        9.6654237013243577E-002  0.35414843980867927       0.56443266740042286       0.47064780131419320       0.63650916464928076     
   149.99999999999969       0.64487707059532917       0.64248479800044267       0.82649798231226479       0.46033344702429585       0.97126761033722075        2.4302486703704312E-002	   1.6665386779031607E-002  0.77247143890150183        9.5866722505776769E-002  0.80323321675736326       0.96977181801072943       0.21773290095929992     	  0.15319325367882899       0.55751424571660724       0.74321108210555953        8.9794714672392195E-002  0.14975288828341693       0.70148343201333518     	  0.53662289626199144       0.98518007567564936       0.95627556614169185       0.71859780712427368       0.69499141126917363       0.97957618013537606     	  0.88262901641850677       0.96866396543321465       0.74707891563238871       0.97228928003459791       0.81878154531134362       0.96085202415625814     	  0.95252401443318169       0.13500517324729133       0.47839066535661456       0.72047692229581839       0.61409790439809719       0.78500835556764437     
   174.99999999999963       0.75794133358742077       0.77546343491733749       0.92706506280833767       0.57793088419011052       0.83595722629192704        3.1792453102052434E-002	   2.1778642865168785E-002  0.87605853330927352       0.12319066585515251       0.91494133302119196       0.88009385058804612       0.28706103676540379     	  0.20405194431089904       0.69101481022064226       0.85866246330765328       0.11616253812454201       0.19459535772160866       0.83409786452328138     	  0.66837351908643072       0.91438070844852837       0.78064444513217590       0.84022702801323634       0.82192109800467084       0.95521603970720259     	  0.97166682594674703       0.93920353886149088       0.86693460653665921       0.82871317260419797       0.90104436143722477       0.84751470125981909     	  0.97864827420483214       0.17567748541663333       0.59893681140672028       0.84873055417391796       0.75070824334000774       0.85922907044653785     
   199.99999999999955       0.86093045661369383       0.87159003911967525       0.95971445372879349       0.69086726206400417       0.59638878676929141        4.1390329091524646E-002	   2.8525602984796956E-002  0.92697097743942058       0.15838933019981366       0.96459542180434366       0.68160625975172118       0.35832975660796162     	  0.25821620551939511       0.80520629610069694       0.92443958924849357       0.14753081530353457       0.24471717525752143       0.92889705982712911     	  0.78762658041387468       0.73266152023286180       0.51256921219868856       0.91847538756179914       0.90464505034191756       0.82150702938906039     	  0.98402162404274707       0.79905398780949999       0.93304054763173738       0.57936719655521862       0.91674255388799408       0.61235062371981985     	  0.91767479148715414       0.22068717887647193       0.71122938665583368       0.92814124338793169       0.85942817296792362       0.88523768660292479     
   224.99999999999949       0.90922590890226318       0.93583349599825771       0.91907312888088721       0.78755741037623206       0.32809759508994063        5.0940935129992503E-002	   3.5261128177940686E-002  0.90972760885415427       0.18739381422077384       0.94627279204063275       0.43232580522927083       0.43257717065141016     	  0.31692852353882917       0.89224878148955389       0.92738061780209136       0.17763748763826986       0.30156727450320275       0.97474652175429322     	  0.88491781952108206       0.48917278466504877       0.23772186096974685       0.94302831734696324       0.94514307312068280       0.60778622074028854     	  0.91610814799360607       0.58327937342735670       0.94032573454379120       0.30558498158620789       0.85962344570462612       0.36590198536142149     	  0.75645592182996846       0.26931899890647698       0.80410657463855761       0.95704949279418505       0.93131284975123951       0.83353848094495486     
