# call objective best wall_seconds
1.0000000000e+00 2.1981019600e+01 2.1981019600e+01 2.3995576233e+01
2.0000000000e+00 2.1982878640e+01 2.1981019600e+01 2.3187289381e+01
3.0000000000e+00 2.1979901651e+01 2.1979901651e+01 2.2664739240e+01
4.0000000000e+00 2.1976537208e+01 2.1976537208e+01 2.2867135842e+01
5.0000000000e+00 2.1979116429e+01 2.1976537208e+01 2.3004900437e+01
6.0000000000e+00 2.1983809789e+01 2.1976537208e+01 2.3636967870e+01
7.0000000000e+00 2.1980036897e+01 2.1976537208e+01 2.2144786215e+01
8.0000000000e+00 2.1980979517e+01 2.1976537208e+01 2.2116717285e+01
9.0000000000e+00 2.1984134493e+01 2.1976537208e+01 2.3001131979e+01
1.0000000000e+01 2.1976807090e+01 2.1976537208e+01 2.3435528946e+01
1.1000000000e+01 2.1981056665e+01 2.1976537208e+01 2.2921046719e+01
1.2000000000e+01 2.1979141636e+01 2.1976537208e+01 2.2858144022e+01
1.3000000000e+01 2.1989820167e+01 2.1976537208e+01 2.2898840774e+01
1.4000000000e+01 2.1983399433e+01 2.1976537208e+01 2.2805726900e+01
1.5000000000e+01 2.1983557581e+01 2.1976537208e+01 2.2782910750e+01
1.6000000000e+01 2.1980056333e+01 2.1976537208e+01 2.2875503424e+01
1.7000000000e+01 2.1978960356e+01 2.1976537208e+01 2.2452986374e+01
1.8000000000e+01 2.1981111332e+01 2.1976537208e+01 2.2363709392e+01
1.9000000000e+01 2.1974638132e+01 2.1974638132e+01 2.2828274131e+01
2.0000000000e+01 2.1980438349e+01 2.1974638132e+01 2.2128903500e+01
2.1000000000e+01 2.1978419933e+01 2.1974638132e+01 2.2787163310e+01
2.2000000000e+01 2.1975728303e+01 2.1974638132e+01 2.2575935699e+01
2.3000000000e+01 2.1979247920e+01 2.1974638132e+01 2.2352056895e+01
2.4000000000e+01 2.1981018442e+01 2.1974638132e+01 2.1947360618e+01
2.5000000000e+01 2.1985819844e+01 2.1974638132e+01 2.2420656842e+01
2.6000000000e+01 2.1981012544e+01 2.1974638132e+01 2.2684497553e+01
2.7000000000e+01 2.1985533441e+01 2.1974638132e+01 2.1970626997e+01
2.8000000000e+01 2.1981020003e+01 2.1974638132e+01 2.3029463464e+01
2.9000000000e+01 2.1971735967e+01 2.1971735967e+01 2.2678147872e+01
3.0000000000e+01 2.1976019489e+01 2.1971735967e+01 2.2844607700e+01
3.1000000000e+01 2.1980959124e+01 2.1971735967e+01 2.2118429076e+01
3.2000000000e+01 2.1984058332e+01 2.1971735967e+01 2.2551572039e+01
3.3000000000e+01 2.1974064694e+01 2.1971735967e+01 2.2378267444e+01
3.4000000000e+01 2.1981257752e+01 2.1971735967e+01 2.2051926586e+01
3.5000000000e+01 2.1977781642e+01 2.1971735967e+01 2.2591096671e+01
3.6000000000e+01 2.1981452244e+01 2.1971735967e+01 2.2412378914e+01
3.7000000000e+01 2.1977076275e+01 2.1971735967e+01 2.2017432808e+01
3.8000000000e+01 2.1985271277e+01 2.1971735967e+01 2.2299656425e+01
3.9000000000e+01 2.1981022504e+01 2.1971735967e+01 2.2626326176e+01
4.0000000000e+01 2.1985065718e+01 2.1971735967e+01 2.2249297063e+01
4.1000000000e+01 2.1985132078e+01 2.1971735967e+01 2.2446554704e+01
4.2000000000e+01 2.1981952570e+01 2.1971735967e+01 2.2637246893e+01
4.3000000000e+01 2.1983563837e+01 2.1971735967e+01 2.2705140240e+01
4.4000000000e+01 2.1982464857e+01 2.1971735967e+01 2.1961151417e+01
4.5000000000e+01 2.1984639879e+01 2.1971735967e+01 2.2409998914e+01
4.6000000000e+01 2.1975432431e+01 2.1971735967e+01 2.2898455146e+01
4.7000000000e+01 2.1985977971e+01 2.1971735967e+01 2.5205379647e+01
4.8000000000e+01 2.1981437465e+01 2.1971735967e+01 2.2900055800e+01
4.9000000000e+01 2.1979412840e+01 2.1971735967e+01 2.3513202990e+01
5.0000000000e+01 2.1981138775e+01 2.1971735967e+01 2.2908480230e+01
5.1000000000e+01 2.4970871767e+02 2.1971735967e+01 2.2521445439e+01
5.2000000000e+01 2.4971179213e+02 2.1971735967e+01 2.3136776666e+01
5.3000000000e+01 2.4970945108e+02 2.1971735967e+01 2.3820364330e+01
5.4000000000e+01 2.4970851718e+02 2.1971735967e+01 2.2787812063e+01
5.5000000000e+01 2.4970230351e+02 2.1971735967e+01 2.2676604447e+01
5.6000000000e+01 2.4970974129e+02 2.1971735967e+01 2.3083875921e+01
5.7000000000e+01 2.4971454870e+02 2.1971735967e+01 2.3145859562e+01
5.8000000000e+01 2.4970917723e+02 2.1971735967e+01 2.2594614164e+01
5.9000000000e+01 2.4970916318e+02 2.1971735967e+01 2.2912995798e+01
6.0000000000e+01 2.4970827830e+02 2.1971735967e+01 2.3125068939e+01
6.1000000000e+01 2.4971062922e+02 2.1971735967e+01 2.2545049912e+01
6.2000000000e+01 2.4970916973e+02 2.1971735967e+01 2.2527904728e+01
6.3000000000e+01 2.4970786710e+02 2.1971735967e+01 2.3010225412e+01
6.4000000000e+01 2.4970614392e+02 2.1971735967e+01 2.2514304032e+01
6.5000000000e+01 2.4970667524e+02 2.1971735967e+01 2.3054983565e+01
6.6000000000e+01 2.4970856312e+02 2.1971735967e+01 2.3119602323e+01
6.7000000000e+01 2.4970770949e+02 2.1971735967e+01 2.2806559407e+01
6.8000000000e+01 2.4971051103e+02 2.1971735967e+01 2.2579606884e+01
6.9000000000e+01 2.4970943043e+02 2.1971735967e+01 2.2658221149e+01
7.0000000000e+01 2.4970895188e+02 2.1971735967e+01 2.2673947377e+01
7.1000000000e+01 2.4971063444e+02 2.1971735967e+01 2.2547945180e+01
7.2000000000e+01 2.4970802749e+02 2.1971735967e+01 2.2783254750e+01
7.3000000000e+01 2.4970912823e+02 2.1971735967e+01 2.2801982150e+01
7.4000000000e+01 2.4970841572e+02 2.1971735967e+01 2.2695507686e+01
7.5000000000e+01 2.4970924258e+02 2.1971735967e+01 2.2451334271e+01
7.6000000000e+01 2.4970851457e+02 2.1971735967e+01 2.2994703815e+01
7.7000000000e+01 2.4970879446e+02 2.1971735967e+01 2.2833162270e+01
7.8000000000e+01 2.4970927805e+02 2.1971735967e+01 2.2529210075e+01
7.9000000000e+01 2.4970948689e+02 2.1971735967e+01 2.2711435322e+01
8.0000000000e+01 2.4970871356e+02 2.1971735967e+01 2.2857772615e+01
8.1000000000e+01 2.4970894675e+02 2.1971735967e+01 2.2708029664e+01
8.2000000000e+01 2.4970869151e+02 2.1971735967e+01 2.2675143817e+01
8.3000000000e+01 2.4970795588e+02 2.1971735967e+01 2.2504158582e+01
8.4000000000e+01 2.4970701129e+02 2.1971735967e+01 2.2584269302e+01
8.5000000000e+01 2.4970836136e+02 2.1971735967e+01 2.2441361858e+01
8.6000000000e+01 2.4970718163e+02 2.1971735967e+01 2.2606196848e+01
8.7000000000e+01 2.4970811901e+02 2.1971735967e+01 2.2572071827e+01
8.8000000000e+01 2.4970899615e+02 2.1971735967e+01 2.2459603036e+01
8.9000000000e+01 2.4971265243e+02 2.1971735967e+01 2.2455454128e+01
9.0000000000e+01 2.4970921794e+02 2.1971735967e+01 2.2534916609e+01
9.1000000000e+01 2.4970819386e+02 2.1971735967e+01 2.2643888021e+01
9.2000000000e+01 2.4970746892e+02 2.1971735967e+01 2.2663099818e+01
9.3000000000e+01 2.4970625541e+02 2.1971735967e+01 2.2945988434e+01
